ID,Title,Section,Priority,Business_Rule,Edge_Case_Refs,Preconditions,Test_Data,Steps,Assertions,Cross_Layer_Checks,Failure_Signals,Cleanup,References,Automation_Status
CFG-GQL-001,"productConfiguration — Happy Path Two Required Product Sections","GraphQL > Configurable Products > Query",Critical,BL-GQL-001; BL-CAT-006,ECL-2.1,"Runner-native. PUBLIC role (no auth required for productConfiguration). Uses CFG_LAPTOP (CFG-013) — two required Product sections (RAM, Storage).","configurable_id=@td(CFG_LAPTOP.id)","[GQL-OP get_config]
  query {
    productConfiguration(
      configurableProductId: ""@td(CFG_LAPTOP.id)""
      storeId: ""{{STORE_ID}}""
      cultureName: ""en-US""
      currencyCode: ""USD""
    ) {
      configurationSections { id name isRequired type maxLength dependsOnSectionId options { id text product { id name } listPrice { amount currency { code } } } }
    }
  }
[GQL-EXEC get_config]
[GQL-CAPTURE get_config.data.productConfiguration.configurationSections.0.id → SECTION_RAM_ID]
[GQL-CAPTURE get_config.data.productConfiguration.configurationSections.0.options.0.product.id → OPT_RAM_BASE_ID]","[ERRORS label=get_config] errors[] empty
[DATA label=get_config] data.productConfiguration.configurationSections is non-null
[COUNT label=get_config] data.productConfiguration.configurationSections.length = 2
[DATA label=get_config] data.productConfiguration.configurationSections.0.type = Product
[DATA label=get_config] data.productConfiguration.configurationSections.0.isRequired = true
[DATA label=get_config] data.productConfiguration.configurationSections.1.type = Product
[DATA label=get_config] data.productConfiguration.configurationSections.1.isRequired = true","[EVIDENCE] Both sections have non-empty options[] with product references and listPrice (runner-manual)","errors[] non-empty; configurationSections null/empty for known configurable product; options[] empty; section.type missing or wrong",none — read-only query,xAPI; graphql-schema.md — Query.productConfiguration; CFG-013,Automated
CFG-GQL-002,"productConfiguration — Non-Configurable Product Returns Empty","GraphQL > Configurable Products > Query",High,BL-GQL-001,ECL-9.1,"Runner-native. CFG_HOODIE (CFG-003) is a plain Physical product (no configuration). Resolver should return empty configurationSections — NOT an error.","configurable_id=@td(CFG_HOODIE.id)","[GQL-OP get_plain]
  query {
    productConfiguration(
      configurableProductId: ""@td(CFG_HOODIE.id)""
      storeId: ""{{STORE_ID}}""
      cultureName: ""en-US""
      currencyCode: ""USD""
    ) {
      configurationSections { id type }
    }
  }
[GQL-EXEC get_plain]","[ERRORS label=get_plain] errors[] empty
[DATA label=get_plain] data.productConfiguration is non-null
[COUNT label=get_plain] data.productConfiguration.configurationSections.length = 0","[EVIDENCE] No HTTP 500; structured GraphQL response (runner-manual)","errors[] non-empty for plain product; HTTP 500; configurationSections returns null instead of empty array",none,xAPI; CFG-003 Physical baseline,Automated
CFG-GQL-003,"productConfiguration — Invalid GUID — Graceful Empty","GraphQL > Configurable Products > Query",High,BL-GQL-001,ECL-9.1,"Runner-native. Zero-GUID configurableProductId. Resolver MUST NOT 500. Either errors[] non-empty with descriptive not-found OR empty configurationSections.","bogus_id=00000000-0000-0000-0000-000000000000","[GQL-OP bogus_config]
  query {
    productConfiguration(
      configurableProductId: ""00000000-0000-0000-0000-000000000000""
      storeId: ""{{STORE_ID}}""
    ) {
      configurationSections { id }
    }
  }
[GQL-EXEC bogus_config]","[DATA label=bogus_config] data is non-null OR errors[] is non-empty
[EVIDENCE] No HTTP 500 in network response","[EVIDENCE] If errors[], message is descriptive (not stack trace); response time < 2s (runner-manual)","HTTP 500; raw stack trace in errors[]; resolver hangs",none,xAPI; resolver error contract,Automated
CFG-GQL-004,"productConfiguration — Text Section maxLength Returned","GraphQL > Configurable Products > Query",Critical,BL-GQL-001; BL-CAT-006,ECL-7.1; ECL-2.1,"Runner-native. CFG_RING (CFG-017) has a single REQUIRED Text section with maxLength=30. Verify section.maxLength is returned to the storefront for client-side validation (PR #2235).","configurable_id=@td(CFG_RING.id); expected_maxLength=30","[GQL-OP get_text]
  query {
    productConfiguration(
      configurableProductId: ""@td(CFG_RING.id)""
      storeId: ""{{STORE_ID}}""
      cultureName: ""en-US""
    ) {
      configurationSections { id name type isRequired maxLength allowCustomText allowTextOptions }
    }
  }
[GQL-EXEC get_text]","[ERRORS label=get_text] errors[] empty
[COUNT label=get_text] data.productConfiguration.configurationSections.length = 1
[DATA label=get_text] data.productConfiguration.configurationSections.0.type = Text
[DATA label=get_text] data.productConfiguration.configurationSections.0.isRequired = true
[DATA label=get_text] data.productConfiguration.configurationSections.0.maxLength = 30
[DATA label=get_text] data.productConfiguration.configurationSections.0.allowCustomText = true","[ROUNDTRIP label=get_text] storefront PDP enforces maxLength=30 in Text input (runner-manual via /products/configurable-hat path on CFG_RING)","maxLength returned null/0 for known Text section (would break client validation per VCST-4806); type wrong",none,xAPI; VCST-4806; PR #2235; CFG-017,Automated
CFG-GQL-005,"productConfiguration — Conditional Sections dependsOnSectionId","GraphQL > Configurable Products > Query",High,BL-GQL-001; BL-CAT-006,ECL-7.1,"Runner-native. CFG_CONDITIONAL_BIKE (CFG-022) — chain A→B→C with sibling D (both depend on A). Verify dependsOnSectionId is populated for child sections so storefront can render conditional cascade.","configurable_id=@td(CFG_CONDITIONAL_BIKE.id)","[GQL-OP get_cascade]
  query {
    productConfiguration(
      configurableProductId: ""@td(CFG_CONDITIONAL_BIKE.id)""
      storeId: ""{{STORE_ID}}""
    ) {
      configurationSections { id name isRequired dependsOnSectionId }
    }
  }
[GQL-EXEC get_cascade]","[ERRORS label=get_cascade] errors[] empty
[COUNT label=get_cascade] data.productConfiguration.configurationSections.length = 4
[EVIDENCE] At least one section has non-null dependsOnSectionId pointing at the root section's id (the root has dependsOnSectionId=null) — runner-manual","[EVIDENCE] dependsOnSectionId values cross-reference sibling/parent ids in the response","All sections have null dependsOnSectionId (cascade lost); only 3 sections returned",none,xAPI; VCST-4713; CFG-022,Automated
CFG-GQL-006,"createConfiguredLineItem — Happy Path Preview With Required Selections","GraphQL > Configurable Products > Mutation",Critical,BL-GQL-001; BL-PRICE-001,ECL-2.1,"Runner-native. PUBLIC. Builds a preview ConfigurationLineItemType with both required Product sections selected for CFG_LAPTOP. Does NOT mutate cart. Captures section IDs from upstream productConfiguration query.","configurable_id=@td(CFG_LAPTOP.id)","[GQL-OP get_def]
  query {
    productConfiguration(
      configurableProductId: ""@td(CFG_LAPTOP.id)""
      storeId: ""{{STORE_ID}}""
    ) {
      configurationSections { id type isRequired options { product { id } } }
    }
  }
[GQL-EXEC get_def]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.0.id → SECTION_RAM_ID]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.0.options.0.product.id → OPT_RAM_BASE_ID]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.1.id → SECTION_STORAGE_ID]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.1.options.0.product.id → OPT_STORAGE_BASE_ID]
[GQL-OP create_preview]
[GQL-VARS create_preview] {""configurationSections"": [{""sectionId"": ""{{SECTION_RAM_ID}}"", ""type"": ""Product"", ""option"": {""productId"": ""{{OPT_RAM_BASE_ID}}"", ""quantity"": 1, ""selectedForCheckout"": true}}, {""sectionId"": ""{{SECTION_STORAGE_ID}}"", ""type"": ""Product"", ""option"": {""productId"": ""{{OPT_STORAGE_BASE_ID}}"", ""quantity"": 1, ""selectedForCheckout"": true}}]}
  mutation CreateConfiguredLineItem($configurationSections: [ConfigurationSectionInput]) {
    createConfiguredLineItem(command: {
      storeId: ""{{STORE_ID}}""
      currencyCode: ""USD""
      cultureName: ""en-US""
      configurableProductId: ""@td(CFG_LAPTOP.id)""
      configurationSections: $configurationSections
    }) {
      id quantity
      listPrice { amount currency { code } }
      extendedPrice { amount currency { code } }
    }
  }
[GQL-EXEC create_preview]","[ERRORS label=create_preview] errors[] empty
[DATA label=create_preview] data.createConfiguredLineItem is non-null
[COUNT label=create_preview] data.createConfiguredLineItem.quantity = 1
[DATA label=create_preview] data.createConfiguredLineItem.extendedPrice.amount > 0
[DATA label=create_preview] data.createConfiguredLineItem.listPrice.currency.code = USD","[EVIDENCE] Preview does not appear in /carts list — confirms it does NOT mutate cart (runner-manual)","errors[] non-empty for valid selections; extendedPrice 0 or null; price math diverges from base+option sum",none — preview only,xAPI; Mutation.createConfiguredLineItem,Automated
CFG-GQL-007,"createConfiguredLineItem — Empty Required Sections Returns Draft (id=null)","GraphQL > Configurable Products > Mutation",High,BL-GQL-001; BL-CHK-001,ECL-9.1,"Runner-native. CFG_LAPTOP has 2 REQUIRED Product sections. Pass empty configurationSections — backend returns a DRAFT preview with id=null (soft-reject contract: 200 OK, no errors, but the line item is not committable). Verified live 2026-04-27: contract is 'preview is permissive but un-committable when incomplete'; the cart-side BL-CHK-001 enforcement happens at addItem (silent no-op when incomplete; covered separately).","configurable_id=@td(CFG_LAPTOP.id)","[GQL-OP create_empty]
[GQL-VARS create_empty] {""configurationSections"": []}
  mutation CreateConfiguredLineItem($configurationSections: [ConfigurationSectionInput]) {
    createConfiguredLineItem(command: {
      storeId: ""{{STORE_ID}}""
      currencyCode: ""USD""
      configurableProductId: ""@td(CFG_LAPTOP.id)""
      configurationSections: $configurationSections
    }) {
      id quantity extendedPrice { amount currency { code } }
    }
  }
[GQL-EXEC create_empty]","[ERRORS label=create_empty] errors[] empty
[DATA label=create_empty] data.createConfiguredLineItem is non-null
[DATA label=create_empty] data.createConfiguredLineItem.id is null
[DATA label=create_empty] data.createConfiguredLineItem.quantity = 1","[EVIDENCE] No HTTP 500. id=null indicates soft-reject — line item not committable. BL-CHK-001 cart enforcement is verified separately via addItem-with-empty-config (silent no-op).","HTTP 500; data.createConfiguredLineItem.id is non-null GUID (would mean stub got committed despite incomplete config — direct BL-CHK-001 violation); errors[] non-empty (would indicate contract drift to hard-reject)",none,xAPI; BL-CHK-001 enforcement at addItem layer,Automated
CFG-GQL-008,"addConfigurationItem (upsert) + configurationItems — Roundtrip","GraphQL > Configurable Products > Mutation",Critical,BL-GQL-001; BL-CART-001,ECL-2.1,"Runner-native. ORG_USER. addItem(CFG_LAPTOP) WITH both required sections at BASE option, then addConfigurationItem on the RAM section with the UPGRADE option. xAPI contract verified live 2026-04-27: addConfigurationItem is UPSERT by sectionId — replaces the existing option, leaves length at 2. Read-back via configurationItems confirms RAM now points to OPT_RAM_UPGRADE_ID and Storage stays at OPT_STORAGE_BASE_ID.","configurable_id=@td(CFG_LAPTOP.id)","[AUTH role=ORG_USER]
[GQL-OP setup_me]
  query { me { id } }
[GQL-EXEC setup_me]
[GQL-CAPTURE setup_me.data.me.id → USER_ID]
[GQL-OP cleanup_pre]
  mutation { clearCart(command: { storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" }) { id } }
[GQL-EXEC cleanup_pre]
[GQL-OP get_def]
  query { productConfiguration(configurableProductId: ""@td(CFG_LAPTOP.id)"" storeId: ""{{STORE_ID}}"") { configurationSections { id type options { product { id } } } } }
[GQL-EXEC get_def]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.0.id → SECTION_RAM_ID]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.0.options.0.product.id → OPT_RAM_BASE_ID]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.0.options.1.product.id → OPT_RAM_UPGRADE_ID]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.1.id → SECTION_STORAGE_ID]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.1.options.0.product.id → OPT_STORAGE_BASE_ID]
[GQL-OP add_item]
[GQL-VARS add_item] {""configurationSections"": [{""sectionId"": ""{{SECTION_RAM_ID}}"", ""type"": ""Product"", ""option"": {""productId"": ""{{OPT_RAM_BASE_ID}}"", ""quantity"": 1}}, {""sectionId"": ""{{SECTION_STORAGE_ID}}"", ""type"": ""Product"", ""option"": {""productId"": ""{{OPT_STORAGE_BASE_ID}}"", ""quantity"": 1}}]}
  mutation AddItem($configurationSections: [ConfigurationSectionInput]) {
    addItem(command: { storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" productId: ""@td(CFG_LAPTOP.id)"" quantity: 1 configurationSections: $configurationSections }) {
      id itemsCount items { id productId configurationItems { id sectionId productId } }
    }
  }
[GQL-EXEC add_item]
[GQL-CAPTURE add_item.data.addItem.items.0.id → LINE_ITEM_ID]
[GQL-OP add_section]
[GQL-VARS add_section] {""configurationSection"": {""sectionId"": ""{{SECTION_RAM_ID}}"", ""type"": ""Product"", ""option"": {""productId"": ""{{OPT_RAM_UPGRADE_ID}}"", ""quantity"": 1}}}
  mutation AddConfigurationItem($configurationSection: ConfigurationSectionInput!) {
    addConfigurationItem(command: { storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" lineItemId: ""{{LINE_ITEM_ID}}"" configurationSection: $configurationSection }) {
      id items { id configurationItems { id sectionId type productId } }
    }
  }
[GQL-EXEC add_section]
[GQL-OP read_back]
  query { configurationItems(storeId: ""{{STORE_ID}}"" currencyCode: ""USD"" lineItemId: ""{{LINE_ITEM_ID}}"" userId: ""{{USER_ID}}"") { configurationItems { id sectionId type productId } } }
[GQL-EXEC read_back]
[GQL-OP cleanup_post]
  mutation { clearCart(command: { storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" }) { id } }
[GQL-EXEC cleanup_post]","[ERRORS label=add_item] errors[] empty
[DATA label=add_item] data.addItem.itemsCount = 1
[COUNT label=add_item] data.addItem.items.0.configurationItems.length = 2
[ERRORS label=add_section] errors[] empty
[ERRORS label=read_back] errors[] empty
[COUNT label=read_back] data.configurationItems.configurationItems.length = 2
[DATA label=read_back] data.configurationItems.configurationItems[?sectionId={{SECTION_RAM_ID}}].productId = {{OPT_RAM_UPGRADE_ID}}
[DATA label=read_back] data.configurationItems.configurationItems[?sectionId={{SECTION_STORAGE_ID}}].productId = {{OPT_STORAGE_BASE_ID}}","[EVIDENCE] addConfigurationItem upsert behavior verified via sectionId-lookup — same sectionId, swapped productId, length unchanged. Filter syntax insulates against backend response-array ordering shifts (BUG-050i-008 mitigation).","read_back length != 2 (would mean append-not-upsert OR section dropped); RAM section's productId is not OPT_RAM_UPGRADE_ID (upsert silently failed); HTTP 500",cleanup_post clears cart inline,xAPI; Mutations.addConfigurationItem; Query.configurationItems,Automated
CFG-GQL-009,"addConfigurationItems Bulk (upsert) + updateConfigurationItem Replace","GraphQL > Configurable Products > Mutation",Critical,BL-GQL-001; BL-CART-001,ECL-2.1,"Runner-native. ORG_USER. addItem(CFG_LAPTOP) WITH both required sections at BASE, then addConfigurationItems([RAM=UPGRADE, Storage=UPGRADE]) bulk-upsert, then updateConfigurationItem(RAM=BASE) reverts RAM only. Final state: RAM=BASE (reverted), Storage=UPGRADE. Verifies bulk upsert + single update do not interfere; both share upsert-by-sectionId semantics (verified live 2026-04-27).","configurable_id=@td(CFG_LAPTOP.id)","[AUTH role=ORG_USER]
[GQL-OP setup_me]
  query { me { id } }
[GQL-EXEC setup_me]
[GQL-CAPTURE setup_me.data.me.id → USER_ID]
[GQL-OP cleanup_pre]
  mutation { clearCart(command: { storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" }) { id } }
[GQL-EXEC cleanup_pre]
[GQL-OP get_def]
  query { productConfiguration(configurableProductId: ""@td(CFG_LAPTOP.id)"" storeId: ""{{STORE_ID}}"") { configurationSections { id options { product { id } } } } }
[GQL-EXEC get_def]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.0.id → SECTION_RAM_ID]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.0.options.0.product.id → OPT_RAM_BASE_ID]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.0.options.1.product.id → OPT_RAM_UPGRADE_ID]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.1.id → SECTION_STORAGE_ID]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.1.options.0.product.id → OPT_STORAGE_BASE_ID]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.1.options.1.product.id → OPT_STORAGE_UPGRADE_ID]
[GQL-OP add_item]
[GQL-VARS add_item] {""configurationSections"": [{""sectionId"": ""{{SECTION_RAM_ID}}"", ""type"": ""Product"", ""option"": {""productId"": ""{{OPT_RAM_BASE_ID}}"", ""quantity"": 1}}, {""sectionId"": ""{{SECTION_STORAGE_ID}}"", ""type"": ""Product"", ""option"": {""productId"": ""{{OPT_STORAGE_BASE_ID}}"", ""quantity"": 1}}]}
  mutation AddItem($configurationSections: [ConfigurationSectionInput]) {
    addItem(command: { storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" productId: ""@td(CFG_LAPTOP.id)"" quantity: 1 configurationSections: $configurationSections }) {
      id itemsCount items { id productId configurationItems { id sectionId productId } }
    }
  }
[GQL-EXEC add_item]
[GQL-CAPTURE add_item.data.addItem.items.0.id → LINE_ITEM_ID]
[GQL-OP bulk_add]
[GQL-VARS bulk_add] {""configurationSections"": [{""sectionId"": ""{{SECTION_RAM_ID}}"", ""type"": ""Product"", ""option"": {""productId"": ""{{OPT_RAM_UPGRADE_ID}}"", ""quantity"": 1}}, {""sectionId"": ""{{SECTION_STORAGE_ID}}"", ""type"": ""Product"", ""option"": {""productId"": ""{{OPT_STORAGE_UPGRADE_ID}}"", ""quantity"": 1}}]}
  mutation AddConfigurationItems($configurationSections: [ConfigurationSectionInput!]!) {
    addConfigurationItems(command: { storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" lineItemId: ""{{LINE_ITEM_ID}}"" configurationSections: $configurationSections }) {
      id items { id configurationItems { id sectionId productId } }
    }
  }
[GQL-EXEC bulk_add]
[GQL-OP update_one]
[GQL-VARS update_one] {""configurationSection"": {""sectionId"": ""{{SECTION_RAM_ID}}"", ""type"": ""Product"", ""option"": {""productId"": ""{{OPT_RAM_BASE_ID}}"", ""quantity"": 1}}}
  mutation UpdateConfigurationItem($configurationSection: ConfigurationSectionInput!) {
    updateConfigurationItem(command: { storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" lineItemId: ""{{LINE_ITEM_ID}}"" configurationSection: $configurationSection }) {
      id items { id configurationItems { id sectionId productId } }
    }
  }
[GQL-EXEC update_one]
[GQL-OP read_back]
  query { configurationItems(storeId: ""{{STORE_ID}}"" currencyCode: ""USD"" lineItemId: ""{{LINE_ITEM_ID}}"" userId: ""{{USER_ID}}"") { configurationItems { id sectionId productId } } }
[GQL-EXEC read_back]
[GQL-OP cleanup_post]
  mutation { clearCart(command: { storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" }) { id } }
[GQL-EXEC cleanup_post]","[ERRORS label=add_item] errors[] empty
[DATA label=add_item] data.addItem.itemsCount = 1
[ERRORS label=bulk_add] errors[] empty
[ERRORS label=update_one] errors[] empty
[ERRORS label=read_back] errors[] empty
[COUNT label=read_back] data.configurationItems.configurationItems.length = 2
[DATA label=read_back] data.configurationItems.configurationItems.0.sectionId = {{SECTION_RAM_ID}}
[DATA label=read_back] data.configurationItems.configurationItems.0.productId = {{OPT_RAM_BASE_ID}}
[DATA label=read_back] data.configurationItems.configurationItems.1.sectionId = {{SECTION_STORAGE_ID}}
[DATA label=read_back] data.configurationItems.configurationItems.1.productId = {{OPT_STORAGE_UPGRADE_ID}}","[EVIDENCE] bulk_add upserted both sections to UPGRADE, then update_one reverted only RAM; Storage stays UPGRADE — confirms bulk and single mutations do not interfere (runner-manual)","read_back length != 2; RAM productId is not BASE (update_one didn't take effect); Storage productId is not UPGRADE (bulk silently overwritten); HTTP 500",cleanup_post inline,xAPI; Mutations.addConfigurationItems and updateConfigurationItem,Automated
CFG-GQL-010,"updateConfigurationItems Bulk Update — Read-back Verified","GraphQL > Configurable Products > Mutation",High,BL-GQL-001; BL-CART-001,ECL-2.1,"Runner-native. ORG_USER. addItem(CFG_LAPTOP) WITH both required sections at BASE, then updateConfigurationItems to swap BOTH to UPGRADE in one round-trip. Read-back via configurationItems verifies both sections now point to UPGRADE productIds (length unchanged at 2).","configurable_id=@td(CFG_LAPTOP.id)","[AUTH role=ORG_USER]
[GQL-OP setup_me]
  query { me { id } }
[GQL-EXEC setup_me]
[GQL-CAPTURE setup_me.data.me.id → USER_ID]
[GQL-OP cleanup_pre]
  mutation { clearCart(command: { storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" }) { id } }
[GQL-EXEC cleanup_pre]
[GQL-OP get_def]
  query { productConfiguration(configurableProductId: ""@td(CFG_LAPTOP.id)"" storeId: ""{{STORE_ID}}"") { configurationSections { id options { product { id } } } } }
[GQL-EXEC get_def]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.0.id → SECTION_RAM_ID]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.0.options.0.product.id → OPT_RAM_BASE_ID]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.0.options.1.product.id → OPT_RAM_UPGRADE_ID]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.1.id → SECTION_STORAGE_ID]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.1.options.0.product.id → OPT_STORAGE_BASE_ID]
[GQL-CAPTURE get_def.data.productConfiguration.configurationSections.1.options.1.product.id → OPT_STORAGE_UPGRADE_ID]
[GQL-OP add_item]
[GQL-VARS add_item] {""configurationSections"": [{""sectionId"": ""{{SECTION_RAM_ID}}"", ""type"": ""Product"", ""option"": {""productId"": ""{{OPT_RAM_BASE_ID}}"", ""quantity"": 1}}, {""sectionId"": ""{{SECTION_STORAGE_ID}}"", ""type"": ""Product"", ""option"": {""productId"": ""{{OPT_STORAGE_BASE_ID}}"", ""quantity"": 1}}]}
  mutation AddItem($configurationSections: [ConfigurationSectionInput]) {
    addItem(command: { storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" productId: ""@td(CFG_LAPTOP.id)"" quantity: 1 configurationSections: $configurationSections }) {
      id itemsCount items { id productId configurationItems { id sectionId productId } }
    }
  }
[GQL-EXEC add_item]
[GQL-CAPTURE add_item.data.addItem.items.0.id → LINE_ITEM_ID]
[GQL-OP bulk_update]
[GQL-VARS bulk_update] {""configurationSections"": [{""sectionId"": ""{{SECTION_RAM_ID}}"", ""type"": ""Product"", ""option"": {""productId"": ""{{OPT_RAM_UPGRADE_ID}}"", ""quantity"": 1}}, {""sectionId"": ""{{SECTION_STORAGE_ID}}"", ""type"": ""Product"", ""option"": {""productId"": ""{{OPT_STORAGE_UPGRADE_ID}}"", ""quantity"": 1}}]}
  mutation UpdateConfigurationItems($configurationSections: [ConfigurationSectionInput!]!) {
    updateConfigurationItems(command: { storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" lineItemId: ""{{LINE_ITEM_ID}}"" configurationSections: $configurationSections }) {
      id items { id configurationItems { id sectionId productId } }
    }
  }
[GQL-EXEC bulk_update]
[GQL-OP read_back]
  query { configurationItems(storeId: ""{{STORE_ID}}"" currencyCode: ""USD"" lineItemId: ""{{LINE_ITEM_ID}}"" userId: ""{{USER_ID}}"") { configurationItems { id sectionId productId } } }
[GQL-EXEC read_back]
[GQL-OP cleanup_post]
  mutation { clearCart(command: { storeId: ""{{STORE_ID}}"" userId: ""{{USER_ID}}"" }) { id } }
[GQL-EXEC cleanup_post]","[ERRORS label=add_item] errors[] empty
[DATA label=add_item] data.addItem.itemsCount = 1
[ERRORS label=bulk_update] errors[] empty
[DATA label=bulk_update] data.updateConfigurationItems.items.0.configurationItems is non-null
[ERRORS label=read_back] errors[] empty
[COUNT label=read_back] data.configurationItems.configurationItems.length = 2
[DATA label=read_back] data.configurationItems.configurationItems[?sectionId={{SECTION_RAM_ID}}].productId = {{OPT_RAM_UPGRADE_ID}}
[DATA label=read_back] data.configurationItems.configurationItems[?sectionId={{SECTION_STORAGE_ID}}].productId = {{OPT_STORAGE_UPGRADE_ID}}","[EVIDENCE] bulk_update atomically replaced both sections to UPGRADE in a single round-trip; verified via sectionId-lookup (filter predicate insulates against ordering shifts).","bulk_update silently drops one of the two updates; sectionId mismatched in response; read_back length != 2; HTTP 500",cleanup_post inline,xAPI; Mutation.updateConfigurationItems; Query.configurationItems,Automated
